addr,category,context,id1,name,rank,x,y
경상남도 김해시 강동로 51 수라상,"한식,한정식",,1767771059,수라상,1,35.2209887,128.8756964
경상남도 김해시 김해대로2272번길 81,"카페,디저트,카페",,1782758421,어라운드테이블 김해점,2,35.2184195,128.8765276
경상남도 김해시 김해대로2272번길 179,"음식점,한식",,1960556162,강동농원,3,35.2098379,128.8777494
경상남도 김해시 봉황대길 46,"음식점,카페,디저트","카페,치즈케이크,디저트,엔틱한,핫플레이스",1979548167,낙도맨션,4,35.2288232,128.8786192
경상남도 김해시 봉황대길 50,"일식,일식당",,1105689441,오히루텐,5,35.2290127,128.8789627
경상남도 김해시 활천로 32 활천시장/호성아파트,"카페,디저트,베이커리","롤케이크,수제초콜릿,제과점,화려한,기념일",15171502,김덕규과자점,6,35.2307400,128.8939330
경상남도 김해시 김해대로2273번길 62-1 안인정미소,"음식점,양식",,1775579328,안인정미소,7,35.2297115,128.8800670
서울특별시 강북구 한천로 1038 1층,"한식,족발,보쌈",,1301380717,족발집배원 수유직영점,1,37.6403089,127.0270273
서울특별시 강북구 노해로 55,"분식,떡볶이",,1130832729,우리할매떡볶이 수유점,2,37.6406258,127.0223098
서울특별시 구로구 디지털로 288 B118호,"일식,초밥,롤","회전초밥,연어초밥,생새우,고급진,신선한",36610216,최우영스시,1,37.4836912,126.8954420
경상남도 김해시 김해대로2273번안길 34-2 1층,"일식,카레",,1398683127,개나리주택,8,35.2285879,128.8764666
경상남도 김해시 가락로23번길 32,"음식점,카페,디저트",,1195628007,밤비공기,9,35.2282984,128.8790410
경상남도 김해시 봉황대안길 40 덴웨스,"이탈리아음식,스파게티,파스타전문",,1729753838,덴웨스,10,35.2287852,128.8771145
서울특별시 강북구 도봉로 209 성은빌딩,"음식점,샌드위치",,1884126478,써브웨이 미아역점,3,37.6272291,127.0255680
서울특별시 강북구 삼양로181길 56,"카페,디저트,카페",,1499941915,카페 산아래,4,37.6667756,127.0106168
서울특별시 강남구 봉은사로4길 32 2층,"음식점,양식",,1559452716,녘,1,37.5027756,127.0266307
서울특별시 강남구 논현로175길 63,"음식점,햄버거",,1366903580,세인트그릴,2,37.5240345,127.0238545
서울특별시 구로구 디지털로19길 12,"중식,중식당",,1673353120,월래순교자관,2,37.4802976,126.8898265
서울특별시 구로구 디지털로32나길 17-23 102호,"한식,닭갈비",,1678728552,신림춘천집 구로디지털 직영점,3,37.4840596,126.8998615
서울특별시 구로구 디지털로35길 41 1층,"분식,종합분식",,1236100691,입춘,4,37.4876144,126.8954129
서울특별시 구로구 구로중앙로 152 1층,"음식점,카페,디저트",,1317239685,까치화방 NC구로점,5,37.5011602,126.8827731
경상남도 김해시 가락로15번길 26 1층,"음식점,브런치",,1762502535,투게더투겟헐,11,35.2277281,128.8795071
경상남도 김해시 가락로37번길 1,"한식,백반,가정식",,1839966482,부원키친,12,35.2297667,128.8819100
경상남도 김해시 김해대로2301번길 11,"음식점,카페,디저트",,1755518426,퓨어오버,13,35.2270861,128.8782971
서울특별시 관악구 은천로2길 18 1층,"한식,곱창,막창,양","소곱창,시장,돼지곱창,심플한,숨어있는",20601681,신풍루 곱창구이,1,37.4858338,126.9376821
서울특별시 광진구 능동로 278-1 이화만두,"분식,만두",,1032306077,이화만두,1,37.5547079,127.0784729
서울특별시 강북구 도봉로10길 32,"분식,떡볶이",,1999921619,살롱드곱떡,5,37.6141324,127.0311363
서울특별시 강북구 삼양로 528,"카페,디저트,베이커리","베이글,스콘,블루베리,저칼로리,브라우니",35051635,히피스베이글,6,37.6500870,127.0136600
