addr,category,context,id1,name,rank,x,y
서울특별시 강동구 성내동 449-13,"여행,명소,동물원","실내동물원,닥터피쉬,동물체험,깨끗한,바람개비",67583959,애니멀 뮤지엄 더쥬,1,37.5225577,127.1336905
서울특별시 강동구 둔촌동 산86,"여행,명소,테마공원","생태공원,천문대,산책로,화려한,나들이",13209410,일자산허브천문공원,2,37.5372715,127.1533951
서울특별시 강동구 성내동 157-8,"여행,명소,거리,골목","벽화마을,벽화거리,산책,서정적인,데이트",36631477,강풀만화거리,3,37.5356027,127.1300667
서울특별시 강북구 번동 산28-6,"여행,명소,도시,테마공원","생태공원,산책로,전망대,편안한,단풍구경",13293207,북서울꿈의숲,1,37.6233355,127.0407344
서울특별시 강북구 우이동 80,"여행,명소,근린공원","둘레길,국립공원,산책로,호젓한,힐링",18619047,솔밭근린공원,2,37.652331,127.0116241
서울특별시 강동구 길동 476,"여행,명소,자연,생태공원","생태공원,반딧불,산책로,깨끗한,나들이",11622380,길동자연생태공원,4,37.5403935,127.1547791
서울특별시 강동구 암사동 659-1,"여행,명소,시민공원","시민공원,자전거대여,산책로,나들이,인라인",13416918,광나루 한강공원,5,37.5583387,127.1245699
서울특별시 강북구 우이동,"여행,명소,계곡","계곡,닭백숙,공원,깨끗한,등산",13491507,우이동계곡,3,37.6728654,127.0047272
서울특별시 강북구 번동 산28-6,"문화,예술,갤러리,화랑","미술관,공연,숨은,재미있는,체험학습",13528847,북서울꿈의숲상상톡톡미술관,4,37.6224924,127.0412714
서울특별시 강북구 수유동 산9-1,"여행,명소,기념물",,18616923,4.19학생혁명기념탑,5,37.6485404,127.0068985
서울특별시 강동구 고덕동 402-6,"여행,명소,박물관","박물관,패밀리레스토랑,테마파크,재미있는,드라이브",36797808,브이센터,6,37.5655187,127.1476957
서울특별시 관악구 신림동,"여행,명소,먹자거리","백순대,순대볶음,돼지곱창,친절하고,데이트",34604725,원조민속순대타운,1,37.4833177,126.928774
서울특별시 관악구 봉천동 228,"여행,명소,도시,테마공원","전통혼례,둘레길,산책로,평화로운,등산",13490937,낙성대공원,2,37.4713728,126.9603009
부산광역시 강서구 대저2동,"여행,명소,자연,생태공원","생태공원,벚꽃길,벚꽃명소,화사한,나들이",13470998,맥도생태공원,1,35.1507174,128.9553775
서울특별시 강북구 수유동 535-221,"여행,명소,거리,골목",,1040252319,419카페거리,6,37.6440336,127.0042049
서울특별시 금천구 독산동 산118-4,"지역명소,도시,테마공원","생태공원,산책로,단풍,활기찬,나들이",18982380,금천체육공원,1,37.468164,126.9086809
서울특별시 강동구 암사동 139-2,"여행,명소,유적지,사적지","선사유적지,체험학습,박물관,재미있는,유물",11784391,서울 암사동 유적,7,37.5606377,127.1303479
서울특별시 강동구 상일동 477,"문화,예술,공연장","뮤지컬,공연,샤브샤브,재미있는,데이트",19452036,강동아트센터,8,37.5510795,127.1576349
서울특별시 관악구 남현동 1059-13,"문화,예술,미술관","미술관,박물관,한지,고풍스러운,데이트",11726634,서울시립남서울미술관,3,37.4760645,126.9795205
서울특별시 관악구 대학동 203,"여행,명소,도시,테마공원","공원,등산,호수,깨끗한,둘레길",19589084,관악산호수공원,4,37.4583609,126.9473408
서울특별시 광진구 자양동 704-1,"여행,명소,시민공원","시민공원,눈썰매장,치킨,화려한,드라이브",13416890,뚝섬한강공원,1,37.5294517,127.0706769
서울특별시 강남구 삼성동 159,"문화,예술,컨벤션센터","박람회,아쿠아리움,인테리어소품,화려한,직업체험",11576171,코엑스,1,37.511662,127.0594274
서울특별시 강남구 신사동,"여행,명소,거리,골목","핫플레이스,치킨,햄버거,세련된,디저트카페",13491811,가로수길,2,37.5196922,127.0230886
부산광역시 강서구 대저1동 2314-11,"여행,명소,자연,생태공원","생태공원,유채꽃밭,벚꽃구경,화사한,사진찍기",21568278,대저생태공원,2,35.2040962,128.9821461
부산광역시 강서구 천성동 산6-98,"여행,명소,섬","해저터널,둘레길,섬,조그마한,등산",13491253,가덕도,3,35.0366149,128.827403
부산광역시 강서구 명지동,"여행,명소,근린공원",,1358030790,울림공원,4,35.1019786,128.9272499
서울특별시 강북구 우이동,"여행,명소,국립공원","둘레길,산책로,백숙,편안한,등산",13506761,북한산둘레길,7,37.6681004,127.0111224
서울특별시 강북구 번동 산12,"여행,명소,근린공원",,18606502,오동근린공원,8,37.6327957,127.0317268
서울특별시 구로구 항동 222-16,"여행,명소,식물원,수목원","수목원,철길,산책길,조그마한,사진찍기",32581850,푸른수목원,1,37.4830289,126.8240699
서울특별시 구로구 신도림동 692,"문화,예술,공연장","뮤지컬,공연,연극,웅장한,데이트",20152049,디큐브아트센터,2,37.5086467,126.8891862
서울특별시 금천구 시흥동 산93-1,"자연명소,휴양림,산림욕장",,1641854858,호암산 잣나무 산림욕장,2,37.4505409,126.9248943
서울특별시 금천구 독산동 295-10,"여행,명소,테마파크",,1254251005,쥬라리움 금천점,3,37.4706228,126.8956736
충청북도 충주시 칠금동,"여행,명소,문화재","국립공원,경치,산책로,조그마한,섬",11540133,탄금대,6,36.9889179,127.8982624
