addr,category,context,id1,name,rank
강원도 홍천군 서면 팔봉리 1290-2,"숙박,콘도,리조트","스키장,스노우보드,실내워터파크,편안한,등산",13139708,소노벨 비발디파크,1
강원도 홍천군 서면 팔봉리 1290-2,"레저,테마,워터파크","실내워터파크,파도풀,노천온천,재미있는,휴식",11795570,오션월드,2
강원도 홍천군 두촌면 천현리 산134-1,"여행,명소,산,고개","휴양림,등산,막국수,편안한,계곡",11491290,가리산,3
강원도 홍천군 서면 팔봉리 1290-2,"숙박,콘도,리조트","스키장,실내수영장,산책로,편안한,휴식",13284318,소노펠리체 비발디파크,4
강원도 홍천군 두촌면 천현리 776,"자연명소,휴양림,산림욕장","휴양림,짚라인,캠핑,재미있는,등산",11490993,가리산자연휴양림,5
강원도 홍천군 내면 광원리 686-4,"여행,명소,숲,숲길","단풍구경,은행나무길,막국수,깨끗한,휴양림",13546184,홍천은행나무숲,6
강원도 홍천군 화촌면 풍천리 310,"여행,명소,관람,체험","동물원,동물체험,휴식,편안한,피크닉",270427834,알파카월드,7
강원도 홍천군 내면 광원리 산197-1,"자연명소,휴양림,산림욕장","휴양림,캠핑,계곡,깨끗한,단풍구경",11491025,삼봉자연휴양림,8
강원도 홍천군 서면 어유포리 272-13,"여행,명소,지역명소","유원지,오토캠핑,계곡,편안한,등산",15743648,팔봉산관광지,9
강원도 홍천군 서면 중방대리 7,"여행,명소,체험여행","트래킹,힐링,동물농장,편안한,산책로",12038569,힐리언스 선마을,10
강원도 홍천군 북방면 노일리,"여행,명소,강,하천","다슬기,계곡,얼음썰매장,산행,캠핑",13491973,홍천강,11
강원도 홍천군 동면 덕치리 산9,"여행,명소,계곡","계곡,단풍,생태공원,깨끗한,산행",11491199,수타사계곡,12
강원도 홍천군 서면 두미리 624-1,"여행,명소,관람,체험","핀란드마을,목장,체험관,편안한,눈썰매장",594050042,휘바핀란드,13
강원도 홍천군 서면 마곡리 22-2,"여행,명소,유원지","유원지,오토캠핑,카약,편안한,경치",13476479,마곡유원지,14
강원도 홍천군 서석면 검산리 산8-1,"여행,명소,계곡","계곡,캠핑,삼겹살,깨끗한,힐링",38448356,용오름계곡,15
강원도 홍천군 서면 팔봉리 산277,"숙박,콘도,리조트","힐링,야외수영장,산책,럭셔리한,스키장",37910422,소노펠리체빌리지 비발디파크,16
